X Y
-84.445453 531.944256
-84.495678 531.852361
-84.546566 531.760823
-84.598118 531.669651
-84.650338 531.578850
-84.703228 531.488430
-84.756790 531.398396
-84.811028 531.308756
-84.865944 531.219520
-84.921551 531.130705
-84.977859 531.042334
-85.034884 530.954427
-85.092636 530.867006
-85.151129 530.780092
-85.210375 530.693707
-85.270387 530.607872
-85.331179 530.522608
-85.392762 530.437937
-85.455150 530.353881
-85.518355 530.270459
-85.582359 530.187666
-85.647102 530.105452
-85.712517 530.023763
-85.778539 529.942547
-85.845103 529.861749
-85.912141 529.781318
-85.979589 529.701198
-86.047381 529.621338
-86.115451 529.541684
-86.183733 529.462182
-86.252163 529.382779
-86.320683 529.303432
-86.389333 529.224187
-86.458198 529.145133
-86.527365 529.066362
-86.596919 528.987965
-86.666947 528.910035
-86.737536 528.832661
-86.808772 528.755935
-86.880741 528.679948
-86.953529 528.604792
-87.027223 528.530558
-87.101909 528.457337
-87.177635 528.385183
-87.254347 528.314046
-87.331968 528.243857
-87.410424 528.174548
-87.489642 528.106050
-87.569547 528.038297
-87.650063 527.971218
-87.731118 527.904747
-87.812636 527.838814
-87.894543 527.773352
-87.976764 527.708292
-88.059226 527.643566
-88.141894 527.579145
-88.224780 527.515046
-88.307901 527.451290
-88.391271 527.387897
-88.474907 527.324887
-88.558824 527.262281
-88.643039 527.200099
-88.727566 527.138362
-88.812423 527.077090
-88.897625 527.016303
-88.983187 526.956022
-89.069125 526.896267
-89.155444 526.837048
-89.242142 526.778368
-89.329213 526.720229
-89.416655 526.662631
-89.504464 526.605578
-89.592635 526.549069
-89.681166 526.493108
-89.770051 526.437697
-89.859288 526.382835
-89.948872 526.328527
-90.038799 526.274772
-90.129067 526.221574
-90.219675 526.168945
-90.310629 526.116913
-90.401937 526.065509
-90.493606 526.014764
-90.585643 525.964707
-90.678055 525.915369
-90.770848 525.866781
-90.864030 525.818972
-90.957608 525.771973
-91.051589 525.725814
-91.145980 525.680525
-91.240788 525.636137
-91.336014 525.592667
-91.431619 525.550029
-91.527541 525.508093
