X Y Z V
311.254569 342.267092 182.653061 50.000000
311.254569 342.267092 183.673469 50.000000
311.254569 342.267092 184.693878 50.000000
311.254569 342.267092 185.714286 50.000000
311.254569 342.267092 186.734694 50.000000
311.254569 342.267092 187.755102 50.000000
311.254569 342.267092 188.775510 50.000000
311.254569 342.267092 189.795918 50.000000
311.254569 342.267092 190.816327 50.000000
311.254569 342.267092 191.836735 50.000000
311.254569 342.267092 192.857143 50.000000
311.254569 342.267092 193.877551 50.000000
311.254569 342.267092 194.897959 50.000000
311.254569 342.267092 195.918367 50.000000
311.254569 342.267092 196.938776 50.000000
311.254569 342.267092 197.959184 50.000000
311.254569 342.267092 198.979592 50.000000
311.254569 342.267092 200.000000 50.000000
NaN NaN NaN NaN
311.254569 342.267092 200.000000 0.000000
312.147100 341.746619 200.000000 17.857143
313.039631 341.226146 200.000000 35.714286
313.932161 340.705673 200.000000 50.000000
314.824692 340.185200 200.000000 50.000000
315.717223 339.664727 200.000000 50.000000
316.609754 339.144253 200.000000 50.000000
317.502285 338.623780 200.000000 50.000000
318.394815 338.103307 200.000000 50.000000
319.287346 337.582834 200.000000 50.000000
320.179877 337.062361 200.000000 50.000000
321.072408 336.541888 200.000000 50.000000
321.964938 336.021415 200.000000 35.714286
322.857469 335.500942 200.000000 17.857143
323.750000 334.980469 200.000000 0.000000
323.750000 334.980469 200.000000 50.000000
323.750000 334.980469 198.979592 50.000000
323.750000 334.980469 197.959184 50.000000
323.750000 334.980469 196.938776 50.000000
323.750000 334.980469 195.918367 50.000000
323.750000 334.980469 194.897959 50.000000
323.750000 334.980469 193.877551 50.000000
323.750000 334.980469 192.857143 50.000000
323.750000 334.980469 191.836735 50.000000
323.750000 334.980469 190.816327 50.000000
323.750000 334.980469 189.795918 50.000000
323.750000 334.980469 188.775510 50.000000
323.750000 334.980469 187.755102 50.000000
323.750000 334.980469 186.734694 50.000000
323.750000 334.980469 185.714286 50.000000
323.750000 334.980469 184.693878 50.000000
323.750000 334.980469 183.673469 50.000000
323.750000 334.980469 182.653061 50.000000
323.750000 334.980469 181.632653 50.000000
323.750000 334.980469 180.612245 50.000000
323.750000 334.980469 179.591837 50.000000
323.750000 334.980469 178.571429 50.000000
323.750000 334.980469 177.551020 50.000000
323.750000 334.980469 176.530612 50.000000
323.750000 334.980469 175.510204 50.000000
323.750000 334.980469 174.489796 50.000000
323.750000 334.980469 173.469388 50.000000
323.750000 334.980469 172.448980 50.000000
